geneName,4cell,4cell,4cell,4cell,4cell,4cell,4cell
gene133,0.040009,0.194815,0.179043,0.367653,0.279133,1.010550,0.759092
gene134,95.420589,122.421838,114.957659,191.740066,147.406841,123.697814,86.902812
gene135,0.000000,0.000000,0.000000,0.000000,0.000000,1.303619,0.000000
gene136,46.662735,24.980433,2.883208,1.009892,26.286919,29.968380,28.955072
gene137,0.000000,0.000000,0.057998,0.000000,0.000000,0.000000,0.000000
gene138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene139,29.233765,13.262850,9.176873,47.572619,45.472600,15.693857,21.780175
gene140,0.000000,0.617039,0.000000,0.000000,4.636898,1.060596,0.000000
gene141,112.328084,0.000000,5.735758,21.499517,0.000000,20.060550,0.625462
gene142,0.510638,8.752185,70.930204,114.493571,50.350981,39.103021,34.542834
gene143,0.000000,0.000000,2.240317,2.091142,6.061790,36.166974,0.000000
gene144,151.608986,278.358363,457.053377,291.562262,276.833153,142.465531,242.360179
gene145,170.071796,162.262009,238.689502,124.275344,224.903533,273.205699,218.879270
gene146,0.000000,0.000000,0.417075,0.000000,0.000000,0.000000,0.000000
gene147,0.050872,0.198138,3.368780,0.000000,0.000000,0.079065,0.071484
gene148,12.055368,0.000000,0.197059,7.912556,4.817813,6.331358,0.000000
gene149,0.000000,0.122905,6.777294,17.010022,7.684425,29.033490,30.329924
gene150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene151,0.000000,0.000000,0.000000,0.000000,4.698223,3.843210,5.090895
gene152,7.991454,0.903087,1.122908,2.076672,8.995408,12.124661,7.091383
gene153,0.000000,0.025349,2.050118,0.000000,0.000000,0.404590,0.000000
gene154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene156,169.344882,241.475726,239.298299,142.928071,123.687324,312.043081,294.976070
gene157,20.530136,175.575613,45.382929,111.501760,73.741855,58.779556,168.620236
gene158,0.000000,0.000000,0.000000,0.075652,0.000000,0.000000,0.000000
gene159,0.000000,0.000000,0.000000,0.000000,0.000000,0.267613,0.000000
gene160,0.000000,0.468237,0.000000,0.000000,0.000000,0.000000,0.878450
gene161,0.000000,0.308736,0.025795,1.078294,5.329689,1.679913,0.000000
gene162,0.377272,0.000000,0.000000,0.000000,0.637998,0.000000,0.000000
gene163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene164,0.000000,0.000000,0.795555,0.000000,8.957669,1.496751,0.000000
gene165,0.000000,0.000000,0.084152,0.000000,0.000000,0.000000,0.000000
gene166,0.480001,4.778371,1.742291,6.493739,3.585623,0.911880,0.187387
gene167,0.000000,0.000000,0.000000,0.036640,0.023603,0.014461,0.078452
gene168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene169,132.348375,142.173687,310.322848,290.504500,214.130379,322.695515,92.966392
gene170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene171,0.016030,0.031223,11.822306,22.180372,32.535390,20.107851,35.551231
gene172,75.777015,38.021564,22.931070,54.561921,62.384999,34.245224,51.999308
gene173,0.495814,0.193138,0.355004,9.014635,0.000000,0.000000,22.611561
gene174,0.010612,0.000000,1.576590,1.873640,4.697828,1.723630,3.929740
gene175,45.286017,86.424926,26.549278,47.459145,59.900794,18.942960,53.912650
gene176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene179,3.275735,0.584803,8.012991,8.241712,0.484745,30.038970,2.877083
